cluster_key,week_start,records_week,active_days_week,severity_sum_week,severity_mean_week,peak_window_records_week,unique_vehicles_week,unique_vehicle_types_week,dominant_vehicle_type_week,records_per_active_day_week,peak_window_ratio_week,repeat_vehicle_ratio_week,prev_records_week,weekly_growth_pct,growth_surge_week,weekly_pressure_raw,week_index,hotspot_age_weeks,lag1_pressure_raw,lag2_pressure_raw,rolling_4w_mean_pressure_raw,rolling_4w_std_pressure_raw,rolling_4w_mean_records_week,rolling_4w_mean_severity_week,rolling_4w_mean_growth_week,rolling_4w_trend_slope_records_week,rolling_4w_pressure_acceleration,cluster_label,cluster_label_display,risk_band,ccs_score,delay_minutes_per_vehicle,records_total,distinct_days,severity_sum,severity_mean,growth_pct_change,growth_multiplier,criticality_factor,context_multiplier,layer_b_priority_boost,layer_b_alert_flag,validation_uncertainty,resurgence_score,persistence_score,anomaly_score,rop,tvs,vdi,nearby_sensitive_poi_count,road_class,lane_count,carriageway_width_m,link_length_m,junction_degree,betweenness_centrality,geometry_source,mappls_address,road_node_id,road_node_distance_m,road_node_degree,road_node_betweenness,source_pressure_score,source_pressure_norm,spillover_out_score,spillover_in_score,spillover_total_score,propagation_radius_m,network_pagerank,network_component_id,network_component_size,neighbor_count,in_neighbor_count,out_neighbor_count,influence_asymmetry,network_vulnerability_score,layer_d_alert_flag,dominant_vehicle_type,current_week_risk_raw,target_next_week_risk_raw,target_next_week_records_week,target_next_week_growth_surge_week,escalation_flag
1,2023-11-13,42,3,56,1.3333333333333333,29,42,4,SCOOTER,14.0,0.6904761904761905,0.0,,0.0,0.0,6.408965593963555,0,1,6.408965593963555,6.408965593963555,6.408965593963555,0.0,42.0,56.0,0.0,0.0,0.0,POLICE_STATION::Byatarayanapura,POLICE_STATION::Byatarayanapura (Cluster 1),Moderate,1.0277199574320546,60.0,44,4,60,1.3636363636363635,-0.8,1.0,1.393195505012045,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,secondary,2,7.0,1696.356320419458,6,5.107327904832203e-05,osmnx,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0,SCOOTER,6.408965593963555,1.5380572041353535,2.0,0.0,0
10,2023-11-13,93,4,168,1.8064516129032258,9,91,8,CAR,23.25,0.0967741935483871,0.021505376344086023,,0.0,0.0,6.62344595592533,0,1,6.62344595592533,6.62344595592533,6.62344595592533,0.0,93.0,168.0,0.0,0.0,0.0,POLICE_STATION::HAL Old Airport,POLICE_STATION::HAL Old Airport (Cluster 10),Watch,0.4711710081283746,1.5042980979439324,146,9,255,1.7465753424657535,-0.4301075268770956,1.0,1.4170603815113505,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tertiary,2,7.0,65.98138935298205,6,0.003653300292556,osmnx,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0,CAR,6.62344595592533,6.3482927311359685,53.0,0.0,0
101,2023-11-20,3,3,5,1.6666666666666667,2,3,2,CAR,1.0,0.6666666666666666,0.0,,0.0,0.0,2.4645233086575833,0,1,2.4645233086575833,2.4645233086575833,2.4645233086575833,0.0,3.0,5.0,0.0,0.0,0.0,POLICE_STATION::Yeshwanthpura,POLICE_STATION::Yeshwanthpura (Cluster 101),Critical,3.6162888760566654,18.02698827614009,65,12,126,1.9384615384615385,8.0,9.0,1.386741523001389,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,trunk,3,10.5,215.7089489932688,4,0.022796447074351,osmnx,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0,SCOOTER,2.4645233086575833,41.8215083153093,41.0,12.666666662444444,1
101,2023-11-27,41,6,81,1.975609756097561,25,40,9,SCOOTER,6.833333333333333,0.6097560975609756,0.024390243902439025,3.0,12.666666662444444,12.666666662444444,41.8215083153093,1,2,2.4645233086575833,2.4645233086575833,22.143015811983442,19.67849250332586,22.0,43.0,6.333333331222222,37.999999999999986,19.67849250332586,POLICE_STATION::Yeshwanthpura,POLICE_STATION::Yeshwanthpura (Cluster 101),Critical,3.6162888760566654,18.02698827614009,65,12,126,1.9384615384615385,8.0,9.0,1.386741523001389,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,trunk,3,10.5,215.7089489932688,4,0.022796447074351,osmnx,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0,SCOOTER,41.8215083153093,4.268582435590055,21.0,0.0,0
102,2023-11-06,17,3,28,1.6470588235294117,6,17,3,SCOOTER,5.666666666666667,0.35294117647058826,0.0,,0.0,0.0,4.520581434495039,0,1,4.520581434495039,4.520581434495039,4.520581434495039,0.0,17.0,28.0,0.0,0.0,0.0,BTP051 - Safina Plaza Junction,BTP051 - Safina Plaza Junction (Cluster 102),Critical,3.6409447248522406,60.0,49,4,92,1.877551020408164,0.8823529411245675,1.882352941124568,1.5133804857708388,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,secondary,2,7.0,84.39054984622355,3,0.0537714414398855,osmnx,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0,SCOOTER,4.520581434495039,11.661881101746054,32.0,0.8823529411245675,1
103,2023-11-06,22,2,44,2.0,7,22,10,SCOOTER,11.0,0.3181818181818182,0.0,,0.0,0.0,5.088051977666847,0,1,5.088051977666847,5.088051977666847,5.088051977666847,0.0,22.0,44.0,0.0,0.0,0.0,BTP104 - Medical College Circle,BTP104 - Medical College Circle (Cluster 103),High,1.6437489251524398,60.0,141,16,299,2.120567375886525,-0.669811320742079,1.0,1.238932884255046,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,2,7.0,79.10221403915612,4,0.0004858237054275,osmnx,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0,SCOOTER,5.088051977666847,28.42251050110083,84.0,2.818181818053719,1
103,2023-11-13,84,7,191,2.2738095238095237,21,82,10,SCOOTER,12.0,0.25,0.023809523809523808,22.0,2.818181818053719,2.818181818053719,28.42251050110083,1,2,5.088051977666847,5.088051977666847,16.75528123938384,11.66722926171699,53.0,117.5,1.4090909090268595,61.99999999999999,11.667229261716994,BTP104 - Medical College Circle,BTP104 - Medical College Circle (Cluster 103),High,1.6437489251524398,60.0,141,16,299,2.120567375886525,-0.669811320742079,1.0,1.238932884255046,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,2,7.0,79.10221403915612,4,0.0004858237054275,osmnx,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0,SCOOTER,28.42251050110083,6.011483013919734,31.0,0.0,0
103,2023-11-20,31,6,56,1.8064516129032258,17,31,7,SCOOTER,5.166666666666667,0.5483870967741935,0.0,84.0,-0.6309523809448696,0.0,6.011483013919734,2,3,28.42251050110083,5.088051977666847,13.174015164229138,10.788902902168417,45.666666666666664,97.0,0.7290764790362831,4.50000000000001,-3.581266075154703,BTP104 - Medical College Circle,BTP104 - Medical College Circle (Cluster 103),High,1.6437489251524398,60.0,141,16,299,2.120567375886525,-0.669811320742079,1.0,1.238932884255046,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,2,7.0,79.10221403915612,4,0.0004858237054275,osmnx,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0,SCOOTER,6.011483013919734,2.2532130774077404,4.0,0.0,0
106,2023-11-06,27,2,54,2.0,0,27,6,CAR,13.5,0.0,0.0,,0.0,0.0,4.665086314245285,0,1,4.665086314245285,4.665086314245285,4.665086314245285,0.0,27.0,54.0,0.0,0.0,0.0,POLICE_STATION::HSR Layout,POLICE_STATION::HSR Layout (Cluster 106),Critical,3.5655001479972914,60.0,85,6,168,1.9764705882352944,1.1481481481056242,2.148148148105624,1.4334493080627266,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,secondary,2,7.0,117.5334096851756,6,0.0061270878249356,osmnx,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0,CAR,4.665086314245285,13.589870060882788,58.0,1.1481481481056242,1
11,2023-11-13,154,5,305,1.9805194805194806,24,103,4,SCOOTER,30.8,0.15584415584415584,0.33116883116883117,,0.0,0.0,10.103313368552719,0,1,10.103313368552719,10.103313368552719,10.103313368552719,0.0,154.0,305.0,0.0,0.0,0.0,BTP032 - Windsor Circle,BTP032 - Windsor Circle (Cluster 11),Critical,6.863548179986542,60.0,487,15,863,1.7720739219712525,0.0811688311683041,1.081168831168304,1.3934788593777991,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,residential,2,7.0,124.98632531789193,6,9.384352974474292e-05,osmnx,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0,SCOOTER,10.103313368552719,7.742149100976066,154.0,0.0,0
