st_dbscan_cluster_id,week_start,weekly_count,cluster_label,emerging_hotspot_score,alert_level,emerging_rank
1,2023-11-13,42,CLUSTER::1,14.116213800561667,Stable,794
1,2023-11-20,2,CLUSTER::1,14.116213800561667,Stable,794
2,2023-11-06,716,BTP040 - Elite Junction,44.439838041655946,Emerging-High,243
2,2023-11-13,2213,BTP040 - Elite Junction,44.439838041655946,Emerging-High,243
2,2023-11-20,1947,BTP040 - Elite Junction,44.439838041655946,Emerging-High,243
2,2023-11-27,1840,BTP040 - Elite Junction,44.439838041655946,Emerging-High,243
2,2023-12-04,1904,BTP040 - Elite Junction,44.439838041655946,Emerging-High,243
2,2023-12-11,2132,BTP040 - Elite Junction,44.439838041655946,Emerging-High,243
2,2023-12-18,1823,BTP040 - Elite Junction,44.439838041655946,Emerging-High,243
2,2023-12-25,1611,BTP040 - Elite Junction,44.439838041655946,Emerging-High,243
2,2024-01-01,1535,BTP040 - Elite Junction,44.439838041655946,Emerging-High,243
2,2024-01-08,1630,BTP040 - Elite Junction,44.439838041655946,Emerging-High,243
2,2024-01-15,2048,BTP040 - Elite Junction,44.439838041655946,Emerging-High,243
2,2024-01-22,1846,BTP040 - Elite Junction,44.439838041655946,Emerging-High,243
2,2024-01-29,488,BTP040 - Elite Junction,44.439838041655946,Emerging-High,243
3,2023-11-06,506,BTP051 - Safina Plaza Junction,46.46996225400868,Emerging-High,233
3,2023-11-13,1671,BTP051 - Safina Plaza Junction,46.46996225400868,Emerging-High,233
3,2023-11-20,922,BTP051 - Safina Plaza Junction,46.46996225400868,Emerging-High,233
3,2023-11-27,428,BTP051 - Safina Plaza Junction,46.46996225400868,Emerging-High,233
3,2023-12-04,393,BTP051 - Safina Plaza Junction,46.46996225400868,Emerging-High,233
3,2023-12-11,726,BTP051 - Safina Plaza Junction,46.46996225400868,Emerging-High,233
3,2023-12-18,314,BTP051 - Safina Plaza Junction,46.46996225400868,Emerging-High,233
3,2023-12-25,620,BTP051 - Safina Plaza Junction,46.46996225400868,Emerging-High,233
3,2024-01-01,706,BTP051 - Safina Plaza Junction,46.46996225400868,Emerging-High,233
3,2024-01-08,639,BTP051 - Safina Plaza Junction,46.46996225400868,Emerging-High,233
3,2024-01-15,1156,BTP051 - Safina Plaza Junction,46.46996225400868,Emerging-High,233
3,2024-01-22,973,BTP051 - Safina Plaza Junction,46.46996225400868,Emerging-High,233
3,2024-01-29,233,BTP051 - Safina Plaza Junction,46.46996225400868,Emerging-High,233
4,2023-11-06,12,POLICE_STATION::Pulikeshinagar(F.Town),43.479768667099286,Emerging-High,250
4,2023-11-13,80,POLICE_STATION::Pulikeshinagar(F.Town),43.479768667099286,Emerging-High,250
4,2023-11-20,40,POLICE_STATION::Pulikeshinagar(F.Town),43.479768667099286,Emerging-High,250
4,2023-11-27,65,POLICE_STATION::Pulikeshinagar(F.Town),43.479768667099286,Emerging-High,250
4,2023-12-04,30,POLICE_STATION::Pulikeshinagar(F.Town),43.479768667099286,Emerging-High,250
5,2023-11-06,20,POLICE_STATION::K.R. Pura,43.98317150221508,Emerging-High,247
5,2023-11-13,107,POLICE_STATION::K.R. Pura,43.98317150221508,Emerging-High,247
5,2023-11-20,97,POLICE_STATION::K.R. Pura,43.98317150221508,Emerging-High,247
5,2023-11-27,106,POLICE_STATION::K.R. Pura,43.98317150221508,Emerging-High,247
5,2023-12-04,68,POLICE_STATION::K.R. Pura,43.98317150221508,Emerging-High,247
5,2023-12-11,105,POLICE_STATION::K.R. Pura,43.98317150221508,Emerging-High,247
5,2023-12-18,87,POLICE_STATION::K.R. Pura,43.98317150221508,Emerging-High,247
5,2023-12-25,126,POLICE_STATION::K.R. Pura,43.98317150221508,Emerging-High,247
5,2024-01-01,40,POLICE_STATION::K.R. Pura,43.98317150221508,Emerging-High,247
5,2024-01-08,28,POLICE_STATION::K.R. Pura,43.98317150221508,Emerging-High,247
5,2024-01-15,77,POLICE_STATION::K.R. Pura,43.98317150221508,Emerging-High,247
5,2024-01-22,146,POLICE_STATION::K.R. Pura,43.98317150221508,Emerging-High,247
5,2024-01-29,51,POLICE_STATION::K.R. Pura,43.98317150221508,Emerging-High,247
6,2023-11-20,43,CLUSTER::6,21.651174385700887,Stable,554
6,2023-11-27,11,CLUSTER::6,21.651174385700887,Stable,554
7,2024-03-11,339,POLICE_STATION::HAL Old Airport,32.15820473247489,Emerging-Watch,324
7,2024-03-18,5,POLICE_STATION::HAL Old Airport,32.15820473247489,Emerging-Watch,324
8,2023-11-06,13,POLICE_STATION::Sheshadripuram,72.54352925085182,Emerging-Critical,110
8,2023-11-13,46,POLICE_STATION::Sheshadripuram,72.54352925085182,Emerging-Critical,110
9,2023-11-06,27,POLICE_STATION::K.R. Pura,50.75650863914035,Emerging-High,203
9,2023-11-13,75,POLICE_STATION::K.R. Pura,50.75650863914035,Emerging-High,203
9,2023-11-20,26,POLICE_STATION::K.R. Pura,50.75650863914035,Emerging-High,203
10,2023-11-13,93,POLICE_STATION::HAL Old Airport,38.83826374746098,Emerging-High,281
10,2023-11-20,53,POLICE_STATION::HAL Old Airport,38.83826374746098,Emerging-High,281
11,2023-11-13,154,BTP032 - Windsor Circle,53.216776382335006,Emerging-High,193
11,2023-11-20,154,BTP032 - Windsor Circle,53.216776382335006,Emerging-High,193
11,2023-11-27,179,BTP032 - Windsor Circle,53.216776382335006,Emerging-High,193
12,2023-11-20,2,CLUSTER::12,76.85694343558735,Emerging-Critical,67
12,2023-11-27,29,CLUSTER::12,76.85694343558735,Emerging-Critical,67
13,2023-11-13,54,POLICE_STATION::Chikkajala,52.81712659783769,Emerging-High,194
13,2023-11-20,125,POLICE_STATION::Chikkajala,52.81712659783769,Emerging-High,194
13,2023-11-27,51,POLICE_STATION::Chikkajala,52.81712659783769,Emerging-High,194
13,2023-12-04,121,POLICE_STATION::Chikkajala,52.81712659783769,Emerging-High,194
13,2023-12-11,113,POLICE_STATION::Chikkajala,52.81712659783769,Emerging-High,194
13,2023-12-18,98,POLICE_STATION::Chikkajala,52.81712659783769,Emerging-High,194
13,2023-12-25,189,POLICE_STATION::Chikkajala,52.81712659783769,Emerging-High,194
13,2024-01-01,124,POLICE_STATION::Chikkajala,52.81712659783769,Emerging-High,194
13,2024-01-08,70,POLICE_STATION::Chikkajala,52.81712659783769,Emerging-High,194
13,2024-01-15,204,POLICE_STATION::Chikkajala,52.81712659783769,Emerging-High,194
13,2024-01-22,189,POLICE_STATION::Chikkajala,52.81712659783769,Emerging-High,194
13,2024-01-29,85,POLICE_STATION::Chikkajala,52.81712659783769,Emerging-High,194
14,2023-11-06,1,POLICE_STATION::Bellandur,82.40457144186868,Emerging-Critical,32
14,2023-11-13,34,POLICE_STATION::Bellandur,82.40457144186868,Emerging-Critical,32
14,2023-11-20,36,POLICE_STATION::Bellandur,82.40457144186868,Emerging-Critical,32
15,2023-11-27,72,BTP143 - ASC Junction,43.33087709965087,Emerging-High,253
15,2023-12-04,147,BTP143 - ASC Junction,43.33087709965087,Emerging-High,253
15,2023-12-11,83,BTP143 - ASC Junction,43.33087709965087,Emerging-High,253
15,2023-12-18,33,BTP143 - ASC Junction,43.33087709965087,Emerging-High,253
15,2023-12-25,49,BTP143 - ASC Junction,43.33087709965087,Emerging-High,253
15,2024-01-01,48,BTP143 - ASC Junction,43.33087709965087,Emerging-High,253
15,2024-01-08,72,BTP143 - ASC Junction,43.33087709965087,Emerging-High,253
15,2024-01-15,60,BTP143 - ASC Junction,43.33087709965087,Emerging-High,253
15,2024-01-22,52,BTP143 - ASC Junction,43.33087709965087,Emerging-High,253
16,2023-11-06,10,BTP063 - Siddalingaiah Circle,43.287965592881704,Emerging-High,254
16,2023-11-13,47,BTP063 - Siddalingaiah Circle,43.287965592881704,Emerging-High,254
16,2023-11-20,35,BTP063 - Siddalingaiah Circle,43.287965592881704,Emerging-High,254
16,2023-11-27,158,BTP063 - Siddalingaiah Circle,43.287965592881704,Emerging-High,254
