st_dbscan_cluster_id,records_total,peak_window_records,distinct_days,severity_sum,severity_mean,unique_vehicles,centroid_lat,centroid_lon,dominant_police_station,dominant_junction_name,unique_vehicle_types,dominant_vehicle_type,records_peak_hour,gap_count,mean_dwell_minutes,median_dwell_minutes,std_dwell_minutes,mu_departures_per_hour,growth_first_half_mean,growth_second_half_mean,growth_pct_change,growth_multiplier,lambda_hr_peak_window,lambda_hr_peak_hour,cluster_label,lat,lon,vehicle_width_avg_m,cluster_label_mu,gap_count_mu,median_dwell_minutes_mu,std_dwell_minutes_mu,blocking_vehicles_L,repeat_vehicle_count_2plus,chronic_vehicle_count_5plus,dominant_violation_tag,lat_key,lon_key,geometry_source,road_class,lane_count,carriageway_width_m,link_length_m,junction_degree,betweenness_centrality,base_saturation_per_lane_pcu_hr,base_capacity_pcu_hr,blocked_width_fraction,reduced_capacity_pcu_hr,capacity_loss_pct,free_flow_speed_kmh,free_flow_time_min,V_over_C0,V_over_Cp,delay_minutes_per_vehicle,criticality_factor,stage5_rank,mappls_address,effective_capacity_pcu_hr,delay_norm,lambda_norm,severity_norm,growth_norm,criticality_norm,ccs_raw_product,ccs_score,risk_band,physical_hotspot_key,cluster_label_display,priority_message,ccs_rank
2,21733,10074,87,34509,1.58786177702112,18627,12.973168894409923,77.5775477916929,Upparpet,BTP040 - Elite Junction,21,SCOOTER,2791.0,624.0,101.33173076923076,48.0,126.7815500341265,0.592114627313035,1792.0,1568.7142857142858,-0.1246014030611549,1.0,19.00754716981132,32.08045977011494,BTP040 - Elite Junction,12.973168894409923,77.5775477916929,1.3896056687986011,BTP040 - Elite Junction,624.0,48.0,126.7815500341265,32.101127486015336,1844,154,['WRONG PARKING'],12.9732,77.5775,osmnx,tertiary,2,7.0,64.13710759442279,5,0.0004823158368602,1700.0,3400.0,0.95,340.0,0.9000000000000294,35.0,0.1099493273047216,0.0055904550499428,0.0559045504992806,60.0,1.3174810730666666,2,"AS Char Main Road, Kempegowda Maharaja Complex, Kempegowda Extension, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)",340.0,0.9999999999830509,0.9999999999473893,0.9999999999999711,0.0,0.40243524546916803,0.21913129304124876,21.913129304124876,Critical,BTP040 - ELITE JUNCTION|12.97317|77.57755,BTP040 - Elite Junction (Cluster 2),BTP040 - Elite Junction (Cluster 2) | Critical | CCS=21.913,1
3,9287,6196,87,15028,1.618175944869172,7622,12.981962282368803,77.60773290754804,Shivajinagar,BTP051 - Safina Plaza Junction,19,SCOOTER,1798.0,386.0,90.65544041450777,65.0,94.00150441932404,0.6618466550379941,774.3333333333334,663.0,-0.1437795953506538,1.0,11.690566037735849,20.666666666666668,BTP051 - Safina Plaza Junction,12.981962282368803,77.60773290754804,1.3546462797458814,BTP051 - Safina Plaza Junction,386.0,65.0,94.00150441932404,17.663556854270393,842,109,['WRONG PARKING'],12.982,77.6077,osmnx,unclassified,2,7.0,177.03759097046907,4,4.795159784625067e-06,1650.0,3300.0,0.95,330.0,0.9000000000000303,30.0,0.3540751819409263,0.0035425957690097,0.0354259576900012,60.0,1.2357460537772995,1,"Dispensary Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",330.0,0.9999999999830509,0.6150486400311718,0.43533333333332075,0.0,0.29882890373226534,0.15074615249616966,15.074615249616965,Critical,BTP051 - SAFINA PLAZA JUNCTION|12.98196|77.60773,BTP051 - Safina Plaza Junction (Cluster 3),BTP051 - Safina Plaza Junction (Cluster 3) | Critical | CCS=15.075,2
13,1423,483,78,2079,1.460997891777934,1367,13.185280326141951,77.67998198784258,Chikkajala,No Junction,9,CAR,132.0,19.0,62.31578947368421,47.0,84.62303570390955,0.962837837822387,93.66666666666669,143.5,0.5320284697452096,1.5320284697452096,0.9113207547169812,1.6923076923076923,POLICE_STATION::Chikkajala,13.185280326141951,77.67998198784258,1.8957835558678848,POLICE_STATION::Chikkajala,19.0,47.0,84.62303570390955,0.946494537264536,53,0,['NO PARKING'],13.1853,77.68,osmnx,residential,2,7.0,32.21333224576199,4,6.436456086745057e-06,1500.0,3000.0,0.2563355398869363,2230.993380339191,0.2563355398871842,30.0,0.0644266644915218,0.0003037735849055,0.0004084820523214,60.0,1.235756927421132,11,,2230.993380339191,0.9999999999830509,0.047945205476929625,0.05999999999999826,0.06650355870983825,0.29884268703431416,0.14734146786290261,14.734146786290262,Critical,POLICE_STATION::CHIKKAJALA|13.18528|77.67998,POLICE_STATION::Chikkajala (Cluster 13),POLICE_STATION::Chikkajala (Cluster 13) | Critical | CCS=14.734,3
17,1387,555,42,2526,1.8211968276856525,1272,12.966594891041227,77.53792556985502,Vijayanagara,"BTP016 - 5th Main Road, RPC Layout",14,SCOOTER,197.0,29.0,68.65517241379311,20.0,127.68557174507548,0.8739326971243876,168.75,178.0,0.0548148148144899,1.05481481481449,1.0471698113207548,4.690476190476191,"BTP016 - 5th Main Road, RPC Layout",12.966594891041227,77.53792556985502,1.1694304253785148,"BTP016 - 5th Main Road, RPC Layout",29.0,20.0,127.68557174507548,1.198227064358805,93,2,['WRONG PARKING'],12.9666,77.5379,osmnx,residential,2,7.0,186.76623368595065,6,9.397225886647784e-05,1500.0,3000.0,0.2001775979104269,2399.467206268719,0.2001775979106935,30.0,0.3735324673718888,0.0003490566037734,0.0004364176382925,60.0,1.3934797122126095,8,"3rd A Main Road, RPC Layout, Vijaya Nagar Stage 2, Bengaluru, Karnataka. Pin-560104 (India)",2399.467206268719,0.9999999999830509,0.05509231685237256,0.07295652173912832,0.006851851850954771,0.49877021972320146,0.13781759372525365,13.781759372525364,Critical,"BTP016 - 5TH MAIN ROAD, RPC LAYOUT|12.96659|77.53793","BTP016 - 5th Main Road, RPC Layout (Cluster 17)","BTP016 - 5th Main Road, RPC Layout (Cluster 17) | Critical | CCS=13.782",4
37,798,337,14,1232,1.543859649122807,766,12.97657935526316,77.57756462882205,Upparpet,BTP044 - Sagar Theatre Junction,16,CAR,92.0,4.0,181.25,89.0,193.0380467679882,0.3310344827567943,67.0,365.5,4.455223880530519,5.455223880530519,0.6358490566037736,6.571428571428571,BTP044 - Sagar Theatre Junction,12.97657935526316,77.57756462882205,1.4521303258145364,BTP044 - Sagar Theatre Junction,4.0,89.0,193.0380467679882,1.9207940193654311,30,0,['WRONG PARKING'],12.9766,77.5776,osmnx,tertiary,2,7.0,83.18813294372666,3,2.896405239035276e-05,1700.0,3400.0,0.3984633206807533,2045.2247096854387,0.3984633206809302,35.0,0.1426082279035273,0.0001870144284128,0.0003108944721781,60.0,1.1573347449527471,10,"5th Main Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",2045.2247096854387,0.9999999999830509,0.03345245185450369,0.03544927536231782,0.556902984996702,0.19943565798831742,0.1374222975509834,13.74222975509834,Critical,BTP044 - SAGAR THEATRE JUNCTION|12.97658|77.57756,BTP044 - Sagar Theatre Junction (Cluster 37),BTP044 - Sagar Theatre Junction (Cluster 37) | Critical | CCS=13.742,5
35,1650,633,69,2485,1.506060606060606,1168,12.97446412018182,77.5454475259394,Vijayanagara,BTP020 - Hosahalli Metro Station,12,SCOOTER,200.0,49.0,159.46938775510205,107.0,158.87436983170403,0.3762477604276381,132.5,142.5,0.0754716981126379,1.075471698112638,1.1943396226415095,2.898550724637681,BTP020 - Hosahalli Metro Station,12.97446412018182,77.5454475259394,0.9072727272727272,BTP020 - Hosahalli Metro Station,49.0,107.0,158.87436983170403,3.174343464821414,249,31,['NO PARKING'],12.9745,77.5454,fallback,road,2,7.0,250.0,4,0.0,1600.0,3200.0,0.4114278931739221,1883.430741843449,0.4114278931741061,30.0,0.4999999999999833,0.0003732311320753,0.0006341298334505,60.0,1.2357142856806123,6,"Chord Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",1883.430741843449,0.9999999999830509,0.06283502084243572,0.07176811594202691,0.009433962262900502,0.2987886348694165,0.1356148824197948,13.56148824197948,Critical,BTP020 - HOSAHALLI METRO STATION|12.97446|77.54545,BTP020 - Hosahalli Metro Station (Cluster 35),BTP020 - Hosahalli Metro Station (Cluster 35) | Critical | CCS=13.561,6
382,411,353,24,769,1.8710462287104623,386,13.071194625790756,77.58817191459855,Kodigehalli,No Junction,8,SCOOTER,99.0,10.0,56.8,33.0,52.691175731805416,1.0563380281504169,38.66666666666666,98.33333333333331,1.5431034482359545,2.5431034482359545,0.6660377358490566,4.125,POLICE_STATION::Kodigehalli,13.071194625790756,77.58817191459855,1.1420924574209246,POLICE_STATION::Kodigehalli,10.0,33.0,52.691175731805416,0.6305157226846525,21,0,['WRONG PARKING'],13.0712,77.5882,osmnx,secondary,2,9.0,312.5093325877144,6,0.0004911981462599,1800.0,3600.0,0.0800119167870481,3311.9570995666268,0.0800119167873036,40.0,0.4687639988815599,0.0001850104821802,0.0002011009550624,57.63519046828709,1.396111347228788,14,,3311.9570995666268,0.9599184326426045,0.03504069882682434,0.02202898550724574,0.19288793100538332,0.5021060490798658,0.12621187548330384,12.621187548330385,Critical,POLICE_STATION::KODIGEHALLI|13.07119|77.58817,POLICE_STATION::Kodigehalli (Cluster 382),POLICE_STATION::Kodigehalli (Cluster 382) | Critical | CCS=12.621,7
20,374,141,12,630,1.6844919786096255,368,12.965108344385026,77.57599985347593,City Market,BTP082 - KR Market Junction,11,SCOOTER,45.0,1.0,49.0,49.0,0.0,1.2244897958933778,13.0,180.5,8.0,9.0,0.2660377358490566,3.75,BTP082 - KR Market Junction,12.965108344385026,77.57599985347593,1.429144385026738,BTP082 - KR Market Junction,1.0,49.0,0.0,0.2172641507703977,6,0,['WRONG PARKING'],12.9651,77.576,osmnx,residential,2,7.0,223.7564041556953,6,0.0597797122854599,1500.0,3000.0,0.0443574058709656,2866.9277823871034,0.0443574058712841,30.0,0.4475128083113757,8.867924528298931e-05,9.279540889845909e-05,49.4522913034633,1.7888997701831628,28,,2866.9277823871034,0.8212250539511717,0.01399642644357573,0.017999999999999478,0.999999999875,0.9999999987324119,0.1199327978714033,11.993279787140331,Critical,BTP082 - KR MARKET JUNCTION|12.96511|77.576,BTP082 - KR Market Junction (Cluster 20),BTP082 - KR Market Junction (Cluster 20) | Critical | CCS=11.993,8
131,495,256,42,824,1.6646464646464647,472,12.943914226702026,77.57132933553025,Basavanagudi,BTP108 - Tagore Park Junction,9,SCOOTER,70.0,6.0,80.16666666666667,36.5,117.21976037435932,0.7484407484314123,55.66666666666666,82.0,0.473053892207071,1.473053892207071,0.4830188679245283,1.6666666666666667,BTP108 - Tagore Park Junction,12.943914226702026,77.57132933553025,1.1812121212121214,BTP108 - Tagore Park Junction,6.0,36.5,117.21976037435932,0.6453668754560411,19,0,['WRONG PARKING'],12.9439,77.5713,osmnx,tertiary,2,7.0,147.22934632398545,6,0.0173343417100174,1700.0,3400.0,0.1089021679726524,3029.7326288929817,0.1089021679729145,35.0,0.252393165126825,0.0001420643729189,0.0001594262356084,60.0,1.507697746281893,17,,3029.7326288929817,0.9999999999830509,0.0254119515571304,0.02362318840579642,0.05913173651849241,0.6435516460100713,0.11042405905334345,11.042405905334345,Critical,BTP108 - TAGORE PARK JUNCTION|12.94391|77.57133,BTP108 - Tagore Park Junction (Cluster 131),BTP108 - Tagore Park Junction (Cluster 131) | Critical | CCS=11.042,9
56,265,144,9,502,1.8943396226415092,255,12.999429728679246,77.5503542664151,Malleshwaram,BTP027 - Modi Bridge Junction,7,SCOOTER,77.0,,94.4,,,0.635593220338983,7.0,129.0,8.0,9.0,0.2716981132075471,8.555555555555555,BTP027 - Modi Bridge Junction,12.999429728679246,77.5503542664151,1.2377358490566035,,,,,0.4274716974406521,10,0,['WRONG PARKING'],12.9994,77.5504,osmnx,tertiary,2,7.0,215.80369731149315,6,0.0021462684644055,1700.0,3400.0,0.0755852920433982,3143.010007052446,0.0755852920436701,35.0,0.3699491953911206,7.991120976690213e-05,8.644519508299708e-05,60.0,1.4070762443860467,22,,3143.010007052446,0.9999999999830509,0.014294222750885847,0.014289855072463355,0.999999999875,0.5160050227616733,0.10825430640228804,10.825430640228804,Critical,BTP027 - MODI BRIDGE JUNCTION|12.99943|77.55035,BTP027 - Modi Bridge Junction (Cluster 56),BTP027 - Modi Bridge Junction (Cluster 56) | Critical | CCS=10.825,10
90,358,121,20,658,1.8379888268156424,342,13.021985926536312,77.59267638240223,R.T. Nagar,No Junction,12,SCOOTER,42.0,5.0,90.0,62.0,41.4584128977461,0.6666666666592592,23.0,104.0,3.5217391302816634,4.521739130281663,0.2283018867924528,2.1,POLICE_STATION::R.T. Nagar,13.021985926536312,77.59267638240223,1.293854748603352,POLICE_STATION::R.T. Nagar,5.0,62.0,41.4584128977461,0.3424528296788051,14,0,['WRONG PARKING'],13.022,77.5927,osmnx,tertiary,2,7.0,41.25892648592,8,0.0007238760337957,1700.0,3400.0,0.0632977456841827,3184.787664673778,0.0632977456844582,35.0,0.0707295882615751,6.714761376246637e-05,7.168512027497016e-05,60.0,1.554795703268986,50,,3184.787664673778,0.9999999999830509,0.012011117728174914,0.01881159420289801,0.44021739123018067,0.7032524580871965,0.10713605849918742,10.713605849918743,Critical,POLICE_STATION::R.T. NAGAR|13.02199|77.59268,POLICE_STATION::R.T. Nagar (Cluster 90),POLICE_STATION::R.T. Nagar (Cluster 90) | Critical | CCS=10.714,11
