st_dbscan_cluster_id,records_total,peak_window_records,distinct_days,severity_sum,severity_mean,unique_vehicles,centroid_lat,centroid_lon,dominant_police_station,dominant_junction_name,unique_vehicle_types,dominant_vehicle_type,records_peak_hour,gap_count,mean_dwell_minutes,median_dwell_minutes,std_dwell_minutes,mu_departures_per_hour,growth_first_half_mean,growth_second_half_mean,growth_pct_change,growth_multiplier,lambda_hr_peak_window,lambda_hr_peak_hour,cluster_label,lat,lon,vehicle_width_avg_m,cluster_label_mu,gap_count_mu,median_dwell_minutes_mu,std_dwell_minutes_mu,blocking_vehicles_L,repeat_vehicle_count_2plus,chronic_vehicle_count_5plus,dominant_violation_tag,lat_key,lon_key,geometry_source,road_class,lane_count,carriageway_width_m,link_length_m,junction_degree,betweenness_centrality,base_saturation_per_lane_pcu_hr,base_capacity_pcu_hr,blocked_width_fraction,reduced_capacity_pcu_hr,capacity_loss_pct,free_flow_speed_kmh,free_flow_time_min,V_over_C0,V_over_Cp,delay_minutes_per_vehicle,criticality_factor,stage5_rank,mappls_address,unique_hotspots,weekly_count_list,active_days,observation_days,ROP,TVS,resurgence_score,cluster_area_m2,VDI,review_total,review_present,approved_count,reviewed_ratio,approval_rate,validation_confidence,validation_uncertainty,ROP_norm,TVS_norm,VDI_norm,validation_uncertainty_norm,resurgence_norm,layer_c_index,cluster_label_display,layer_c_rank
78,92,31,8,92,1.0,84,12.913656329347829,77.60613122934782,Mico Layout,"BTP163 - 16th Main Road, BTM Layout",5,SCOOTER,16.0,1.0,13.0,13.0,0.0,4.615384615029586,1.0,45.5,44.4999999555,45.4999999555,0.0584905660377358,2.0,"BTP163 - 16th Main Road, BTM Layout",12.913656329347829,77.60613122934782,1.108695652173913,"BTP163 - 16th Main Road, BTM Layout",1.0,13.0,0.0,0.0126729559730718,6,0,['NO PARKING'],12.9137,77.6061,osmnx,tertiary,2,7.0,33.65561692497364,4,6.059923405670471e-05,1700.0,3400.0,0.0020072073122184,3393.1754951384573,0.0020072073125119,35.0,0.0576953432999531,1.7203107658152542e-05,1.723770731031167e-05,1.09422095386427e-14,1.2147317942406508,402,,2,"[1, 86, 5]",8.0,134,0.059701492536867906,1.2769773206280437,5.0,12346.859375,0.007451287587050253,92,92,92,0.9999999999891304,0.9999999999891304,0.9999999999782607,2.173927704518519e-11,0.081395348710384,0.9400672395594644,0.12087494306542022,0.016236468189529334,0.9999999997944319,0.3857845673096436,"BTP163 - 16th Main Road, BTM Layout (Cluster 78)",1
660,22,18,8,32,1.4545454545454546,20,12.996445136363636,77.58449675909091,Sheshadripuram,BTP032 - Windsor Circle,2,CAR,6.0,1.0,45.0,45.0,0.0,1.3333333333037038,1.0,10.5,9.4999999905,10.4999999905,0.0339622641509433,0.75,BTP032 - Windsor Circle,12.996445136363636,77.58449675909091,1.8545454545454545,BTP032 - Windsor Circle,1.0,45.0,0.0,0.0254716980946698,2,0,['NO PARKING'],12.9964,77.5845,osmnx,tertiary,2,7.0,203.3672727152225,4,0.0015256331862411,1700.0,3400.0,0.0067483459877536,3377.055623641638,0.0067483459880457,35.0,0.3486296103689429,9.988901220862768e-06,1.0056767769288394e-05,7.073811102941973e-14,1.2255161273166642,240,,1,"[1, 20, 1]",8.0,134,0.059701492536867906,1.2213662582465776,5.0,4393.2734375,0.0050076555245134316,22,22,22,0.9999999999545455,0.9999999999545455,0.9999999999090909,9.090905805919647e-11,0.081395348710384,0.8991282682422583,0.07920061146963621,0.06811738843904058,0.9999999997944319,0.3796380907769478,BTP032 - Windsor Circle (Cluster 660),2
63,76,23,8,151,1.986842105263158,74,12.959891055263157,77.57751601578947,City Market,BTP104 - Medical College Circle,9,SCOOTER,11.0,,94.4,,,0.635593220338983,1.0,37.5,36.4999999635,37.4999999635,0.0433962264150943,1.375,BTP104 - Medical College Circle,12.959891055263157,77.57751601578947,1.438157894736842,,,,,0.0682767294523263,1,0,['WRONG PARKING'],12.9599,77.5775,osmnx,primary,2,7.0,30.169648032968325,4,0.0004844720496493,1900.0,3800.0,0.0140275310678067,3746.6953819423343,0.0140275310680662,45.0,0.0402261973772902,1.1420059582916557e-05,1.15825339375697e-05,2.2795787541276332e-14,1.2178519851539071,335,,3,"[1, 74, 1]",8.0,134,0.059701492536867906,1.3583893427521156,5.0,42044.796875,0.001807595841786266,76,76,76,0.9999999999868421,0.9999999999868421,0.9999999999736842,2.631583839729501e-11,0.081395348710384,0.999999999263834,0.024625968098070234,0.019669126368361923,0.9999999997944319,0.379207855892814,BTP104 - Medical College Circle (Cluster 63),3
257,87,72,6,87,1.0,75,12.928616228735631,77.58070089425287,Jayanagara,"BTP189 - New Diagonal Road, Jayanagar",4,SCOOTER,42.0,,94.4,,,0.635593220338983,1.0,43.0,41.999999958,42.999999958,0.1358490566037735,7.0,"BTP189 - New Diagonal Road, Jayanagar",12.928616228735631,77.58070089425287,1.0,,,,,0.213735848720326,11,0,['NO PARKING'],12.9286,77.5807,osmnx,tertiary,2,7.0,116.95146687450143,8,0.0001166929488526,1700.0,3400.0,0.0305336926699703,3296.185444922101,0.0305336926702554,35.0,0.200488228927711,3.9955604883451066e-05,4.121402113859007e-05,3.6124895578144688e-12,1.5008589941014867,66,,3,"[1, 84, 2]",6.0,134,0.04477611940265093,1.3411384707832807,5.0,25047.9921875,0.003473332287424346,87,87,87,0.9999999999885058,0.9999999999885058,0.9999999999770115,2.2988499992493416e-11,0.05813953479313143,0.9873004944803344,0.053033867163954244,0.017173450136747426,0.9999999997944319,0.3760364460236548,"BTP189 - New Diagonal Road, Jayanagar (Cluster 257)",4
3,9287,6196,87,15028,1.618175944869172,7622,12.981962282368803,77.60773290754804,Shivajinagar,BTP051 - Safina Plaza Junction,19,SCOOTER,1798.0,386.0,90.65544041450777,65.0,94.00150441932404,0.6618466550379941,774.3333333333334,663.0,-0.1437795953506538,1.0,11.690566037735849,20.666666666666668,BTP051 - Safina Plaza Junction,12.981962282368803,77.60773290754804,1.3546462797458814,BTP051 - Safina Plaza Junction,386.0,65.0,94.00150441932404,17.663556854270393,842,109,['WRONG PARKING'],12.982,77.6077,osmnx,unclassified,2,7.0,177.03759097046907,4,4.795159784625067e-06,1650.0,3300.0,0.95,330.0,0.9000000000000303,30.0,0.3540751819409263,0.0035425957690097,0.0354259576900012,0.000165401058881,1.21432101214031,1,"Dispensary Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",6,"[506, 1671, 922, 428, 393, 726, 314, 620, 706, 639, 1156, 973, 233]",87.0,134,0.6492537313384384,0.5288695978625534,0.8210578348986654,1188875.953125,0.007811580321385763,9287,9287,9287,0.9999999999998923,0.9999999999998923,0.9999999999997846,2.1538326677728037e-13,0.9999999984418605,0.3893357970563288,0.12701946830407754,9.243245302275905e-05,0.14094299134080288,0.3744309878742714,BTP051 - Safina Plaza Junction (Cluster 3),5
64,102,23,8,161,1.5784313725490196,101,12.964301476470586,77.58299856470587,Halasuru Gate,"BTP080 - NR Road, SP Road Junction",9,SCOOTER,11.0,,94.4,,,0.635593220338983,1.0,50.5,49.4999999505,50.4999999505,0.0433962264150943,1.375,"BTP080 - NR Road, SP Road Junction",12.964301476470586,77.58299856470587,1.3068627450980392,,,,,0.0682767294523263,1,0,['WRONG PARKING'],12.9643,77.583,osmnx,living_street,2,7.0,32.14771735041353,6,0.0001323335371434,1200.0,2400.0,0.0127469020093766,2369.407435177496,0.012746902009788,20.0,0.0964431520512357,1.8081761006281773e-05,1.831522336377962e-05,1.312962149142994e-13,1.3581169839641554,194,,3,"[1, 99, 2]",8.0,134,0.059701492536867906,1.351875112774254,5.0,134924.9921875,0.0007559755857406597,102,102,102,0.9999999999901961,0.9999999999901961,0.9999999999803921,1.9607870882509815e-11,0.081395348710384,0.9952044448759675,0.006691364957452168,0.014637803114636605,0.9999999997944319,0.37365555973637204,"BTP080 - NR Road, SP Road Junction (Cluster 64)",6
56,265,144,9,502,1.8943396226415092,255,12.999429728679246,77.5503542664151,Malleshwaram,BTP027 - Modi Bridge Junction,7,SCOOTER,77.0,,94.4,,,0.635593220338983,7.0,129.0,17.428571426081632,18.428571426081632,0.2716981132075471,8.555555555555555,BTP027 - Modi Bridge Junction,12.999429728679246,77.5503542664151,1.2377358490566035,,,,,0.4274716974406521,10,0,['WRONG PARKING'],12.9994,77.5504,osmnx,tertiary,2,7.0,215.80369731149315,6,0.0021462684644055,1700.0,3400.0,0.0755852920433982,3143.010007052446,0.0755852920436701,35.0,0.3699491953911206,7.991120976690213e-05,8.644519508299708e-05,7.731607747529807e-11,1.3729418588529774,22,,5,"[7, 254, 4]",9.0,134,0.06716417910397639,1.326231233383922,5.0,321252.0390625,0.0008248974878831604,265,265,265,0.9999999999962265,0.9999999999962265,0.9999999999924529,7.547074076796889e-12,0.09302325566901028,0.9763262936976763,0.007866776856867557,0.0055915805005155176,0.9999999997944319,0.3712127440974292,BTP027 - Modi Bridge Junction (Cluster 56),7
5,1058,340,85,1672,1.5803402646502835,974,13.008494429253307,77.69530268616256,K.R. Pura,,17,CAR,96.0,16.0,14.5625,9.5,11.379635044675204,4.120171673536812,83.83333333333333,79.28571428571429,-0.0542459528536555,1.0,0.6415094339622641,1.1294117647058823,POLICE_STATION::K.R. Pura,13.008494429253307,77.69530268616256,1.4361058601134216,POLICE_STATION::K.R. Pura,16.0,9.5,11.379635044675204,0.1556996855074934,61,1,['WRONG PARKING'],13.0085,77.6953,osmnx,trunk,2,7.0,73.58149560752852,4,0.0024823158366945,2100.0,4200.0,0.0319430329633121,4065.839261554089,0.0319430329635427,55.0,0.0802707224809387,0.0001527403414195,0.0001577803234938,2.603157154777117e-11,1.2325584107635077,35,,1,"[20, 107, 97, 106, 68, 105, 87, 126, 40, 28, 77, 146, 51]",85.0,134,0.6343283582042215,0.45355818924414254,1.2551605504587158,144802.265625,0.007306515512263711,1058,1058,1058,0.9999999999990549,0.9999999999990549,0.9999999999981097,1.8902657217267915e-12,0.976744184524608,0.3338941013710644,0.11840596275412056,0.0013486810893302754,0.2301806417933237,0.36944289144305364,POLICE_STATION::K.R. Pura (Cluster 5),8
347,122,38,10,189,1.5491803278688523,117,12.970347181732814,77.6449368902705,Jeevanbheemanagar,"BTP148 - 17th Main, Doopanahalli Bus Stop",10,CAR,16.0,4.0,15.5,16.0,10.523782589924592,3.870967741685744,4.0,59.0,13.7499999965625,14.7499999965625,0.0716981132075471,1.6,"BTP148 - 17th Main, Doopanahalli Bus Stop",12.970347181732814,77.6449368902705,1.5549180327868852,"BTP148 - 17th Main, Doopanahalli Bus Stop",4.0,16.0,10.523782589924592,0.0185220125750264,5,0,['NO PARKING'],12.9703,77.6449,osmnx,tertiary,2,7.0,94.97045397981404,6,0.0141042062228844,1700.0,3400.0,0.0041143159074713,3386.0113259145974,0.0041143159077642,35.0,0.1628064925368194,2.1087680355154728e-05,2.1174800172341294e-05,9.777517261215663e-14,1.460966019315188,215,,2,"[4, 114, 4]",10.0,134,0.07462686567108488,1.2751105889935668,5.0,193121.78125,0.0006317257391183025,122,122,122,0.9999999999918032,0.9999999999918032,0.9999999999836064,1.639355318161506e-11,0.10465116262763657,0.9386930152672444,0.004572376019530833,0.012226898267866406,0.9999999997944319,0.36726124853700226,"BTP148 - 17th Main, Doopanahalli Bus Stop (Cluster 347)",9
20,374,141,12,630,1.6844919786096255,368,12.965108344385026,77.57599985347593,City Market,BTP082 - KR Market Junction,11,SCOOTER,45.0,1.0,49.0,49.0,0.0,1.2244897958933778,13.0,180.5,12.88461538362426,13.88461538362426,0.2660377358490566,3.75,BTP082 - KR Market Junction,12.965108344385026,77.57599985347593,1.429144385026738,BTP082 - KR Market Junction,1.0,49.0,0.0,0.2172641507703977,6,0,['WRONG PARKING'],12.9651,77.576,osmnx,residential,2,7.0,223.7564041556953,6,0.0597797122854599,1500.0,3000.0,0.0443574058709656,2866.9277823871034,0.0443574058712841,30.0,0.4475128083113757,8.867924528298931e-05,9.279540889845909e-05,6.494523487766822e-11,1.797190220849772,28,,4,"[13, 340, 21]",12.0,134,0.08955223880530186,1.2216471910241538,5.0,318604.625,0.001173868709533011,374,374,374,0.9999999999973262,0.9999999999973262,0.9999999999946525,5.347500220409529e-12,0.12790697654488914,0.8993350813911308,0.013818222097491856,0.00394178612277957,0.9999999997944319,0.36539576202766755,BTP082 - KR Market Junction (Cluster 20),10
